ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
1103825,War of the Worlds : The Attack,5.1,2023-04-21,en,"[878, 9648, 53]",True
384018,Fast & Furious Presents: Hobbs & Shaw,6.9,2019-08-01,en,"[28, 12, 35]",True
166428,How to Train Your Dragon: The Hidden World,7.8,2019-01-03,en,"[16, 10751, 12]",True
1163258,12th Fail,8.1,2023-10-27,hi,[18],True
299534,Avengers: Endgame,8.3,2019-04-24,en,"[12, 878, 28]",True
580489,Venom: Let There Be Carnage,6.8,2021-09-30,en,"[878, 28, 12]",True
13,Forrest Gump,8.5,1994-06-23,en,"[35, 18, 10749]",True
49013,Cars 2,6.1,2011-06-11,en,"[16, 10751, 12, 35]",True
934632,Rebel Moon - Part Two: The Scargiver,0,2024-04-19,en,"[28, 878, 18]",True
818647,Through My Window,7.4,2022-02-04,es,"[18, 10749, 35]",True
813477,Shin Kamen Rider,7,2023-03-17,ja,"[28, 18, 878]",True
106646,The Wolf of Wall Street,8,2013-12-25,en,"[80, 18, 35]",True
1074049,Ocho apellidos marroquís,5.9,2023-12-01,es,[35],True
809,Shrek 2,7.3,2004-05-19,en,"[16, 10751, 35, 14, 12]",True
260346,Taken 3,6.2,2014-12-16,en,"[53, 28]",True
155,The Dark Knight,8.5,2008-07-16,en,"[18, 28, 80, 53]",True
206647,Spectre,6.5,2015-10-26,en,"[28, 12, 53]",True
109445,Frozen,7.2,2013-11-20,en,"[16, 10751, 12, 14]",True
99861,Avengers: Age of Ultron,7.3,2015-04-22,en,"[28, 12, 878]",True
1221118,How to Succeed at Losing,7.3,2023-12-21,es,[35],True
882598,Smile,6.7,2022-09-23,en,"[27, 9648, 53]",True
138843,The Conjuring,7.5,2013-07-18,en,"[27, 53]",True
214756,Ted 2,6.3,2015-06-25,en,"[35, 14]",True
804150,Cocaine Bear,6.1,2023-02-22,en,"[53, 35, 80]",True
900667,One Piece Film Red,7.3,2022-08-06,ja,"[16, 12, 28, 14]",True
637649,Wrath of Man,7.7,2021-04-22,en,"[53, 28, 80]",True
109418,Grown Ups 2,6.1,2013-07-11,en,[35],True
508943,Luca,7.8,2021-06-17,en,"[16, 35, 14, 12, 10751]",True
315635,Spider-Man: Homecoming,7.3,2017-07-05,en,"[28, 12, 878, 18]",True
646389,Plane,7,2023-01-12,en,[28],True
724495,The Woman King,7.7,2022-09-16,en,"[28, 18, 36]",True
330457,Frozen II,7.3,2019-11-20,en,"[10751, 16, 12, 35, 14]",True
664341,Eileen,6.4,2023-12-01,en,"[18, 53, 9648, 80]",True
479753,Shockwave: Countdown to Disaster,5.7,2017-09-02,en,"[28, 878, 12, 53]",True
554600,Uri: The Surgical Strike,7.1,2019-01-11,hi,"[28, 18, 10752]",True
916224,Suzume,8,2022-11-11,ja,"[16, 18, 12, 14]",True
